mae,rmse,r2,mean_pinball,picp_90,mpiw_90,picp_80,mpiw_80,picp_50,mpiw_50,pinball_q05,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90,pinball_q95,fold,target,horizon,train_span_sec,test_span_sec,test_samples
0.6948159722222221,0.8625247812462496,0.9925317749932207,0.21095562665343923,98.14814814814815,4.5195787037037025,88.6574074074074,2.97739560185185,59.49074074074075,1.4430659722222199,0.11992371527777781,0.16877261574074073,0.2824581886574076,0.34740798611111107,0.2827978877314815,0.16530976851851856,0.11001922453703722,1,Mag_heading,1,0-1439,1440-1871,432
0.6892476851851853,0.870367350073562,0.9923908273344736,0.20938924189814828,98.14814814814815,4.242312500000003,90.97222222222221,2.9940817129629647,59.02777777777778,1.4404670138888886,0.11106151620370358,0.16837831018518534,0.28317462384259273,0.34462384259259266,0.28437673611111147,0.16638958333333342,0.10772008101851879,1,Mag_heading,3,0-1439,1440-1871,432
0.6915451388888888,0.8639869660073328,0.9925184322741998,0.20643594824735453,99.07407407407408,4.481698495370368,88.88888888888889,2.928312962962965,56.018518518518526,1.3436574074074097,0.1048293518518518,0.15762824074074064,0.2661734664351852,0.3457725694444444,0.2815377604166669,0.16800953703703705,0.12110071180555565,1,Mag_heading,5,0-1439,1440-1871,432
0.4624814814814897,0.5774602479504297,0.9744498728110164,0.13679888723545006,95.37037037037037,2.5005878472221874,89.81481481481481,1.9312164351851235,59.72222222222222,1.0078975694444448,0.07287013888888695,0.11472439814814359,0.19105960648148398,0.23124074074074485,0.17854210069444398,0.10501599537037354,0.06413923032407352,1,TOF_Alt,1,0-1439,1440-1871,432
0.6612511574074094,0.8539072712499303,0.9437117277242603,0.2204027620701065,98.61111111111111,4.908770717592642,96.06481481481481,3.617881481481498,68.51851851851852,1.7652534722222197,0.1308214236111114,0.20021145833333578,0.3004084201388821,0.3306255787037047,0.2778980034722269,0.17931488425926367,0.12353956597222125,1,TOF_Alt,3,0-1439,1440-1871,432
0.7729537037036915,0.9775996527303501,0.9258771113646397,0.25940982060185314,98.8425925925926,5.835142476851927,96.52777777777779,4.338009722222317,71.75925925925925,2.1399583333333454,0.14629166666666632,0.21820164351852223,0.33479615162035903,0.38647685185184577,0.35023336226853197,0.22865858796296892,0.15121048032407766,1,TOF_Alt,5,0-1439,1440-1871,432
0.627337962962964,0.7878255566043083,0.9938223722060884,0.18922954199735445,98.14814814814815,3.8385211805555572,91.43518518518519,2.851791435185186,60.64814814814815,1.350339699074074,0.10017947337962949,0.15439701388888857,0.2524859664351847,0.313668981481482,0.2522262731481483,0.15477796296296298,0.09687112268518529,2,Mag_heading,1,0-1871,1872-2303,432
0.6250486111111111,0.7999230373859355,0.9936254270770859,0.18862159391534394,96.52777777777779,3.6494944444444455,89.35185185185185,2.6684437500000024,62.96296296296296,1.3505925925925897,0.09766807291666657,0.156770787037037,0.2646843171296298,0.31252430555555555,0.24803616898148137,0.14730599537037056,0.09336151041666683,2,Mag_heading,3,0-1871,1872-2303,432
0.6123541666666662,0.7894824224581384,0.9937929870709444,0.1923867385912699,97.45370370370371,3.9719567129629634,90.27777777777779,2.790106944444447,66.20370370370371,1.3878732638888882,0.09415367476851877,0.15057307870370393,0.25669299768518455,0.3061770833333331,0.25629962384259286,0.16948877314814836,0.11332193865740757,2,Mag_heading,5,0-1871,1872-2303,432
0.4181215277777793,0.5352615334054212,0.899402098123272,0.12484433201058222,96.06481481481481,2.24180949074071,88.6574074074074,1.728273148148133,61.80555555555556,0.9059131944444486,0.061839849537035446,0.09973414351851988,0.17588151041666772,0.20906076388888964,0.16798972800926018,0.09935983796296267,0.060044490740740065,2,TOF_Alt,1,0-1871,1872-2303,432
