target,horizon,iter,mean_test_mae,std_test_mae,mean_train_mae,gen_gap,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,is_best,params
Mag_heading,3,4,1.0964392389525375,0.5410559718622036,1.1632323153562625,-0.066793076403725,250,18.0,15,32,0.4,0.75,False,"{""n_estimators"": 250, ""min_samples_split"": 32, ""min_samples_leaf"": 15, ""max_samples"": 0.75, ""max_features"": 0.4, ""max_depth"": 18, ""bootstrap"": true}"
Mag_heading,3,5,1.0784517184942715,0.5246908828698141,1.1419379073250568,-0.06348618883078538,120,6.0,6,8,0.7,0.75,False,"{""n_estimators"": 120, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 6, ""bootstrap"": true}"
Mag_heading,3,6,1.064029255319149,0.533211126378247,1.1082227907600704,-0.044193535440921305,80,12.0,10,24,0.7,0.75,False,"{""n_estimators"": 80, ""min_samples_split"": 24, ""min_samples_leaf"": 10, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 12, ""bootstrap"": true}"
Mag_heading,3,7,1.1470603518821605,0.5688938753996686,1.1145012069808213,0.032559144901339154,120,14.0,2,32,0.4,0.6,False,"{""n_estimators"": 120, ""min_samples_split"": 32, ""min_samples_leaf"": 2, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 14, ""bootstrap"": true}"
Mag_heading,3,8,1.0428447217675942,0.5257361049870319,1.2425105982278337,-0.19966587646023948,300,18.0,30,32,0.85,,True,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 30, ""max_samples"": null, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
Mag_heading,3,9,1.0789662438625207,0.5325932653905433,1.0950579848624749,-0.01609174099995414,200,8.0,10,16,0.55,,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 10, ""max_samples"": null, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
Mag_heading,3,10,1.0578060556464817,0.5237904505571628,1.1806462614850313,-0.1228402058385496,160,12.0,20,12,1.0,,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": 1.0, ""max_depth"": 12, ""bootstrap"": true}"
Mag_heading,3,11,1.072004091653028,0.5327991443988848,1.1228531644550694,-0.05084907280204143,200,22.0,15,16,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 15, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 22, ""bootstrap"": true}"
Mag_heading,3,12,1.114903027823241,0.5342692971136532,1.112040080903077,0.002862946920163978,160,22.0,10,12,0.4,0.6,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 10, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
Mag_heading,3,13,1.1706732815057288,0.5719533111592865,1.289396034281351,-0.11872275277562228,120,6.0,15,12,sqrt,0.85,False,"{""n_estimators"": 120, ""min_samples_split"": 12, ""min_samples_leaf"": 15, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
